sweep,best_lp,median_lp,best_minus_median,accept,pop_spread,elapsed_s
292,127498.6609,125064.9597,2433.7012,0.0185,3.0774,2014.6
293,127498.6609,125064.9597,2433.7012,0.0370,3.08161,2020.6
294,127498.6609,125133.9562,2364.7047,0.0556,3.161,2027.0
295,127498.6609,125244.8166,2253.8443,0.0741,3.15975,2033.0
296,127498.6609,125244.8166,2253.8443,0.0556,3.18454,2038.8
297,127498.6609,125249.1244,2249.5364,0.0370,3.19676,2045.0
298,127498.6609,125249.1244,2249.5364,0.0370,3.17659,2051.3
299,127498.6609,125249.1244,2249.5364,0.0000,3.17659,2057.5
300,127498.6609,125249.1244,2249.5364,0.0185,3.18683,2063.4
301,127498.6609,125249.1244,2249.5364,0.0370,3.18282,2069.7
302,127498.6609,125249.1244,2249.5364,0.0000,3.18282,2075.7
303,127498.6609,125249.1244,2249.5364,0.0370,3.19019,2081.4
304,127498.6609,125249.1244,2249.5364,0.0556,3.19107,2087.7
305,127498.6609,125249.1244,2249.5364,0.0185,3.18801,2093.7
306,127498.6609,125249.1244,2249.5364,0.0370,3.17582,2099.8
307,127498.6609,125289.5705,2209.0904,0.0185,3.18204,2105.6
308,127498.6609,125289.5705,2209.0904,0.0000,3.18204,2111.2
309,127498.6609,125289.5705,2209.0904,0.0556,3.20233,2117.4
310,127498.6609,125289.5705,2209.0904,0.0000,3.20233,2123.5
311,127498.6609,125289.5705,2209.0904,0.0370,3.20235,2129.5
312,127629.6926,125289.5705,2340.1221,0.0926,3.26656,2135.7
313,127629.6926,125289.5705,2340.1221,0.0185,3.2591,2141.8
314,127629.6926,125289.5705,2340.1221,0.0370,3.29357,2147.6
315,127629.6926,125289.5705,2340.1221,0.0185,3.28736,2153.5
316,127629.6926,125500.2017,2129.4909,0.0556,3.28736,2159.7
317,127629.6926,125500.2017,2129.4909,0.0370,3.32635,2165.7
318,127629.6926,125500.2017,2129.4909,0.0185,3.32817,2171.5
319,127629.6926,125500.2017,2129.4909,0.0000,3.32817,2177.1
320,127629.6926,125500.2017,2129.4909,0.0556,3.32541,2183.0
321,127629.6926,125500.2017,2129.4909,0.0000,3.32541,2188.8
322,127629.6926,125500.2017,2129.4909,0.0185,3.35453,2194.8
323,127629.6926,125500.2017,2129.4909,0.0185,3.35502,2200.6
324,127629.6926,125500.2017,2129.4909,0.0556,3.39472,2206.4
325,127629.6926,125626.2977,2003.3948,0.0741,3.4555,2212.4
326,127629.6926,125626.2977,2003.3948,0.0556,3.4761,2218.1
327,127629.6926,125626.2977,2003.3948,0.0000,3.4761,2224.0
328,127629.6926,125662.7043,1966.9882,0.0741,3.49004,2229.7
329,127629.6926,125662.7043,1966.9882,0.0370,3.49571,2235.7
330,127629.6926,125662.7043,1966.9882,0.0556,3.54709,2241.3
331,127629.6926,125662.7043,1966.9882,0.0370,3.55718,2246.9
332,127629.6926,125662.7043,1966.9882,0.0185,3.55139,2252.7
333,127629.6926,125662.7043,1966.9882,0.0000,3.55139,2259.3
334,127629.6926,125662.7043,1966.9882,0.0556,3.53836,2265.2
335,127643.4260,125671.5769,1971.8491,0.0370,3.55004,2270.8
336,127643.4260,125671.5769,1971.8491,0.0370,3.54841,2277.1
337,127643.4260,125671.5769,1971.8491,0.0370,3.56783,2282.7
338,127643.4260,125702.8938,1940.5322,0.0185,3.57045,2288.5
339,127643.4260,125702.8938,1940.5322,0.0000,3.57045,2294.3
340,127643.4260,125702.8938,1940.5322,0.0926,3.61178,2300.2
341,127643.4260,125702.8938,1940.5322,0.0370,3.61804,2306.0
342,127643.4260,125702.8938,1940.5322,0.0185,3.6227,2311.9
343,127643.4260,125702.8938,1940.5322,0.0556,3.64308,2317.8
344,127643.4260,125702.8938,1940.5322,0.0185,3.64454,2323.9
