 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-Jul-31 00:00     11 51 38.41 -00 04 09.4  1.28393879951202  -0.2476366    10.67819339
 2014-Aug-01 00:00     11 55 12.93 -00 27 21.6  1.28379798281317  -0.2399344    10.67702225
 2014-Aug-02 00:00     11 58 47.50 -00 50 33.6  1.28366166983611  -0.2320302    10.67588857
 2014-Aug-03 00:00     12 02 22.13 -01 13 44.9  1.28352999824397  -0.2238499    10.67479349
 2014-Aug-04 00:00     12 05 56.85 -01 36 55.3  1.28340315123885  -0.2153094    10.67373853
 2014-Aug-05 00:00     12 09 31.66 -02 00 04.4  1.28328136393986  -0.2063129    10.67272566
 2014-Aug-06 00:00     12 13 06.59 -02 23 11.9  1.28316493021763  -0.1967532    10.67175731
 2014-Aug-07 00:00     12 16 41.66 -02 46 17.4  1.28305420784108  -0.1865178    10.67083646
 2014-Aug-08 00:00     12 20 16.87 -03 09 20.5  1.28294961829963  -0.1755015    10.66996662
 2014-Aug-09 00:00     12 23 52.26 -03 32 20.9  1.28285163674074  -0.1636276    10.66915173
 2014-Aug-10 00:00     12 27 27.83 -03 55 18.3  1.28276076845582  -0.1508723    10.66839600
 2014-Aug-11 00:00     12 31 03.61 -04 18 12.4  1.28267751234951  -0.1372836    10.66770358
 2014-Aug-12 00:00     12 34 39.63 -04 41 02.7  1.28260231799729  -0.1229830    10.66707821
 2014-Aug-13 00:00     12 38 15.89 -05 03 49.1  1.28253554763610  -0.1081466    10.66652290
 2014-Aug-14 00:00     12 41 52.43 -05 26 31.1  1.28247745372691  -0.0929724    10.66603974
 2014-Aug-15 00:00     12 45 29.27 -05 49 08.4  1.28242817632170  -0.0776469    10.66562992
 2014-Aug-16 00:00     12 49 06.43 -06 11 40.7  1.28238775670764  -0.0623231    10.66529376
 2014-Aug-17 00:00     12 52 43.93 -06 34 07.7  1.28235615947767  -0.0471134    10.66503097
 2014-Aug-18 00:00     12 56 21.79 -06 56 29.0  1.28233329550276  -0.0320926    10.66484082
 2014-Aug-19 00:00     13 00 00.03 -07 18 44.3  1.28231904123463  -0.0173067    10.66472227
 2014-Aug-20 00:00     13 03 38.67 -07 40 53.3  1.28231325286589  -0.0027812    10.66467413
