# HJD mag err
2457060.882000 19.603 0.103
2457061.861890 20.079 0.168
2457061.877930 19.787 0.101
2457062.859820 19.597 0.099
2457063.875660 19.467 0.102
2457064.872420 19.485 0.090
2457065.864300 19.880 0.139
2457066.857170 19.565 0.182
2457069.841080 19.724 0.112
2457069.880330 19.770 0.095
2457070.891750 19.732 0.091
2457071.866190 19.851 0.085
2457072.836000 20.039 0.137
2457072.873870 19.719 0.086
2457074.849760 19.566 0.123
2457074.889900 19.639 0.098
2457075.828010 19.753 0.129
2457075.867150 19.667 0.101
2457077.827490 20.069 0.188
2457077.865090 19.485 0.089
2457078.816640 19.872 0.140
2457078.856050 19.719 0.091
2457078.893780 19.669 0.073
2457079.893070 19.755 0.156
2457080.839140 19.669 0.091
2457080.889370 19.563 0.072
2457081.890330 19.651 0.122
2457082.809020 19.423 0.089
2457082.857840 19.873 0.083
2457082.897320 19.428 0.064
2457083.835960 20.099 0.183
2457083.879960 19.389 0.077
2457084.801320 19.561 0.108
2457084.860250 19.810 0.091
2457085.800460 19.652 0.095
2457085.878420 19.801 0.086
2457086.803340 20.056 0.156
2457086.855140 19.736 0.088
2457086.899130 19.473 0.062
2457087.801790 19.702 0.111
2457087.866650 19.784 0.107
2457088.792120 19.629 0.096
2457088.837750 19.601 0.081
2457088.882310 19.621 0.081
2457089.788780 19.723 0.109
2457089.848100 19.735 0.099
2457089.891830 19.526 0.075
2457090.787540 19.615 0.113
2457090.847460 19.728 0.086
2457090.891610 19.836 0.085
2457091.845460 19.828 0.111
2457091.890100 19.540 0.081
2457092.782110 19.506 0.078
2457092.875960 19.590 0.075
2457097.765730 19.494 0.066
2457097.828410 19.587 0.056
2457097.872370 19.533 0.051
2457098.777430 19.863 0.102
2457098.822240 19.578 0.067
2457098.876090 19.538 0.054
2457099.769110 19.517 0.069
2457099.817840 19.632 0.085
2457099.865790 19.604 0.076
2457100.794630 19.669 0.080
2457100.840430 19.602 0.065
2457100.885450 19.684 0.075
2457101.783530 19.703 0.153
2457101.867590 19.747 0.126
2457102.877120 19.730 0.115
2457108.805780 19.638 0.111
2457108.852740 19.971 0.139
2457109.741090 19.704 0.089
2457109.856790 19.867 0.098
2457109.906760 19.605 0.067
2457110.766100 19.638 0.064
2457110.811230 19.601 0.051
2457111.741180 19.787 0.100
2457111.787020 19.672 0.076
2457111.843210 19.668 0.066
2457111.898620 19.609 0.060
2457112.735310 19.381 0.108
2457112.794680 19.518 0.088
2457112.858030 19.675 0.076
2457112.905630 19.579 0.069
2457113.734690 19.881 0.101
2457113.781420 19.548 0.058
2457113.825530 19.634 0.067
2457113.880940 19.679 0.061
2457114.738280 19.869 0.170
2457114.792010 19.578 0.074
2457114.847910 19.557 0.065
2457114.893900 19.631 0.064
2457115.716930 19.826 0.125
2457115.763250 19.782 0.111
2457115.806570 19.588 0.082
2457115.888290 19.610 0.064
2457116.717340 19.558 0.113
2457116.769480 19.489 0.089
2457116.813650 19.779 0.112
2457116.876620 19.637 0.079
2457116.921660 19.774 0.116
2457117.751620 19.689 0.088
2457117.796580 19.796 0.079
2457117.841410 19.700 0.074
2457117.898310 19.563 0.059
2457118.755350 19.560 0.090
2457118.810180 19.554 0.070
2457118.861690 19.603 0.069
2457118.910040 19.543 0.066
2457119.765470 19.706 0.124
2457119.773300 19.971 0.135
2457119.816880 19.641 0.108
2457119.860820 19.691 0.098
2457119.910930 19.767 0.104
2457120.758420 19.704 0.126
2457120.781810 19.471 0.100
2457120.814370 19.442 0.074
2457120.853340 19.492 0.066
2457125.718510 19.512 0.075
2457125.765740 19.593 0.100
2457125.814710 19.535 0.060
2457125.872370 19.648 0.063
2457125.920540 19.491 0.068
2457126.728810 19.506 0.070
2457126.781360 19.617 0.071
2457126.846160 19.531 0.054
2457126.913110 19.505 0.056
2457127.734800 19.588 0.064
2457129.720510 19.484 0.072
2457129.764910 19.608 0.077
2457129.817930 19.645 0.065
2457129.877860 19.652 0.065
2457129.917420 19.698 0.095
2457130.702130 19.397 0.074
2457130.745800 19.611 0.071
2457130.798690 19.736 0.084
2457130.853100 19.588 0.068
2457130.899050 19.695 0.093
2457131.688810 20.088 0.153
2457131.775930 19.664 0.064
2457131.832840 19.553 0.050
2457131.889730 19.565 0.055
2457132.680940 19.616 0.127
2457132.724730 19.525 0.070
2457132.768060 19.617 0.077
2457133.820920 19.785 0.090
2457133.868930 19.669 0.089
2457134.686570 19.919 0.129
2457134.723380 19.676 0.095
2457134.767810 19.830 0.096
2457134.822230 19.798 0.094
2457134.879370 19.767 0.086
2457134.923810 19.682 0.075
2457135.710640 19.542 0.056
2457135.754190 19.651 0.056
2457135.798580 19.716 0.058
2457135.866780 19.592 0.052
2457135.911280 19.593 0.055
2457136.731540 19.534 0.073
2457136.774970 19.698 0.078
2457136.828470 19.733 0.089
2457136.885130 19.585 0.076
2457136.929490 20.174 0.199
2457137.696730 19.557 0.054
2457137.741050 19.582 0.051
2457137.851650 19.744 0.084
2457137.897450 19.739 0.099
2457138.696510 19.610 0.087
2457138.741800 19.607 0.078
2457138.785920 19.544 0.061
2457138.852540 19.624 0.056
2457138.897900 19.591 0.069
2457139.663220 19.411 0.093
2457139.736620 19.859 0.098
2457139.779400 19.580 0.077
2457139.842880 19.637 0.080
2457139.890450 19.533 0.064
2457139.935290 19.975 0.188
2457140.686080 19.631 0.081
2457140.726140 19.653 0.094
