# HJD mag err
2457580.529640 19.281 0.100
2457581.237280 19.677 0.203
2457581.272380 19.420 0.166
2457581.309310 19.626 0.184
2457581.345770 19.444 0.128
2457581.399900 19.124 0.164
2457581.437270 19.396 0.102
2457581.475950 19.281 0.097
2457581.511340 19.363 0.093
2457581.547550 19.710 0.164
2457582.209960 19.371 0.117
2457582.262180 19.552 0.171
2457582.297260 19.431 0.103
2457582.332520 19.395 0.092
2457582.369960 19.492 0.104
2457582.372910 19.381 0.095
2457582.412770 19.405 0.120
2457582.458120 19.376 0.135
2457582.500960 19.375 0.116
2457582.546600 19.847 0.222
2457583.211930 19.252 0.139
2457583.264530 19.541 0.152
2457583.341610 19.417 0.167
2457583.402180 19.009 0.158
2457583.440370 19.266 0.109
2457583.478740 19.310 0.116
2457583.519680 19.222 0.120
2457584.207410 19.390 0.160
2457584.241190 19.501 0.138
2457584.289700 19.443 0.112
2457584.327430 19.523 0.107
2457584.365670 19.377 0.094
2457584.404810 19.445 0.129
2457584.441810 19.352 0.125
2457584.495820 19.452 0.148
2457584.532440 19.353 0.140
2457586.252110 19.432 0.287
2457586.288070 18.997 0.201
2457586.490350 19.220 0.225
2457588.208860 19.356 0.208
2457592.221340 19.531 0.160
2457592.244560 19.605 0.177
2457593.252860 19.333 0.112
2457594.211300 19.447 0.175
2457594.226370 19.811 0.191
2457594.262780 19.376 0.119
2457594.299450 19.554 0.120
2457594.341420 19.435 0.106
2457594.382330 19.452 0.125
2457594.418810 19.542 0.158
2457594.454210 19.436 0.213
2457604.244490 19.732 0.192
2457604.282640 19.697 0.155
2457604.333750 19.664 0.133
2457605.243110 19.424 0.088
2457605.288640 19.601 0.095
2457605.332610 19.431 0.085
2457605.368080 19.573 0.092
2457605.426570 19.640 0.114
2457605.462030 19.562 0.130
2457606.225600 19.334 0.083
2457606.263060 19.419 0.077
2457606.299890 19.408 0.101
2457606.350490 19.465 0.085
2457606.388980 19.429 0.091
2457606.426530 19.732 0.127
2457606.461870 19.546 0.106
2457607.242200 19.744 0.126
2457607.278100 19.302 0.172
2457607.328620 19.473 0.110
2457607.364630 19.551 0.122
2457607.401610 19.586 0.116
2457607.439660 19.716 0.193
2457608.249420 19.527 0.164
2457608.295410 19.785 0.215
2457608.336650 19.266 0.133
2457609.230960 19.484 0.084
2457609.267310 19.619 0.087
2457609.304190 19.479 0.084
2457609.355500 19.554 0.088
2457609.394870 19.544 0.102
2457609.434280 19.783 0.176
2457610.228740 19.681 0.141
2457610.266510 19.723 0.152
2457610.351030 19.486 0.108
2457610.352830 19.606 0.100
2457610.391730 19.516 0.108
2457610.427150 19.566 0.102
2457610.466410 19.513 0.114
2457611.217790 19.497 0.099
2457611.255890 19.442 0.091
2457611.293070 19.516 0.108
2457611.344300 19.320 0.096
2457611.383130 19.479 0.096
2457611.420060 19.611 0.146
2457611.458840 19.542 0.161
2457612.245240 19.457 0.126
2457612.293060 19.484 0.118
2457612.330660 19.532 0.151
2457612.367680 19.805 0.218
